feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G78690	0.0318041499959008	0	0	0.271174875695622	0	0	0.0062238902247524	0.0080135669477836	0	0	0	0	0	0	0	0.00180544281548176	0.416405362453456	0	0.0483484117238465	0.0109195956312608	0	0	0.0127250384467426	0.00318520113479829	0	0	0.00731366505792462	0.0926814249304265	0.00246086180164093	0.00220072127620662	0.00254577347098183	0	0	0.00497814369126567	0	0	0.00394084742296462	0.0140863279149027	0	0.00165701631655431	0	0.000378273603867468	0	0	0	0.0571514094436191	0	0
G78694	0.097376271429218	0	0.191940117306458	0.000338450963901382	0.0251924644551884	0	0	0	0.0778311634506779	0.00757461214912135	0	0.0541321356330426	0	0	0.0232936824310378	0	0.402100509740475	0	0.000501956848372476	0	0	0.000224680709687655	0	0.104309791304322	0	0.00030599846515845	0	0	0	0	0	0	0	0	0	0	0.0132771751753554	0	0.000200185911785902	0	0	0.00140080402619874	0	0	0	0	0	0
G78696	0	0.48536191779458	0	0.120282404310011	0	0.0106685398101682	0.00195830110579416	0.00231200467233548	0	0	0	0.000740676881531768	0.00120293210907135	0	0.0255883220754495	0	0.182095411324585	0.000217953279073693	0	0	0	0	0	0.0548500372159777	0	0	0	0	0	0	0.04425337949005	0	0	0	0	0	0	0	0.00902872976343266	0	0.0414242366474779	0	0.000499896183814146	0.000513009807290446	0	0	0.00316050468022793	0.015841742849129
G78701	0	0	0	0.048137453252898	0	0.0082214222880132	0.00194138633106852	0	0.00828864776815415	0	0	0	0	0	0.00479319009895644	0.00169467015544188	0.191564819396008	0	0.000197266021248598	0.00226495071957994	0	0.00071983386886514	0	0.00170977249988707	0.000210229980639596	0	0	0	0	0	0.00144621654195872	0	0	0	0.000293359699621052	0.36015509706798	0	0.0202879282015834	0.00326985804598116	0	0.0893536223307275	0	0.000304853519287298	0	0	0.2541119139856	0	0.00103350822650095
G78722	0.0123991526110213	0	0	0.644306518125037	0	0	0.0584749895256585	0	0	0	0.0018109479265632	0	0	0.00626918172459429	0.00104569066010614	0.00151804188556386	0.104147007718021	0.0416900249399301	0.00244034721704391	0.0237660260107002	0	0.000431580421216054	0	0.00140847034916439	0	0	0	0.0416670913625442	0.00146090911383048	0.000264741998595553	0.000777595799319664	0	0	0.00588320022917484	0	0	0.000510305625459007	0	0	0	0	0	0	0	0	0.0497281767564572	0	0
G78748	0.0266745135456339	0	0.0020805687158258	0.480077620478433	0.00470641937113022	0	0.00555476619435586	0	0	0.000491693150594851	0	0	0	0	0.139315799266645	0	0.226248130397109	0	0	0	0	0	0	0.0120126422571512	0	0	0	0	0	0.00672902252447817	0.0813709464004293	0	0	0	0.0100324190822632	0	0.000722060892449756	0	0	0.00087289945558274	0	0	0.00012852769286066	0	0	0.00298197057505788	0	0
G78758	0	0	0.000554726953221475	0.250545926894717	0	0	0.000509325835060899	0	0	0	0	0	0	0	0	0	0.270884047411985	0	0	0	0	0	0	0	0	0	0	0.00199333896632861	0	0	0	0	0	0	0.00377863736589609	0	0	0.298388504551821	0	0.002173937717999	0	0	0.000200425822259507	0	0	0.17097112848071	0	0
G78766	0	0	0	0.186762839619609	0	0.000190987978224078	0	0.000235206869734086	0	0	0	0	0	0.000940121858327141	0.012475254767261	0.000595543794166705	0.000292479742514336	0.000598719086908115	0.000458300585676866	0	0	0.000157235792417236	0	0.00137890027381608	0.000743018501489977	0	0	0.00580584637251617	0.00426971030628286	0	0.00894621089377082	0	0.000896138173686867	0	0.00145887060952567	0	0	0.00024696721322079	0.000464651171159686	0.664453762033918	0.108280775378263	0	0	0	0	0.000348458977511048	0	0
G78776	0.00805372325122425	0	0	0.0913197131648801	0	0.122080843459279	0	0	0.000184265441596712	0	0	0.115186363624332	0	0	0.111970066333523	0	0	0	0	0	0	0	0	0.0125871621350603	0	0.000902900663823889	0	0.0843035774168347	0	0.00152472017612926	0.000439895565270383	0	0.000581301475976368	0	0	0	0	0	0.0531032641859448	0	0	0.000231604353388132	0.000389095313692063	0	0.397141503439045	0	0	0
G78782	0.000275959576860638	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.997106355203919	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00113215994407434	0	0	0	0.0011394167335316	0	0	0	0	0	0.00034610854161411	0	0	0	0	0	0	0
