feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Bifidobacterium_longum	Klebsiella_variicola	Bacteroides_uniformis	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Klebsiella_quasipneumoniae	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Faecalibacterium_prausnitzii	Anaerostipes_hadrus	Parabacteroides_distasonis	Streptococcus_salivarius	Veillonella_atypica	Erysipelatoclostridium_ramosum	Streptococcus_parasanguinis	Haemophilus_parainfluenzae	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Veillonella_infantium	Veillonella_dispar	Eubacterium_sp_CAG_38	Enterococcus_faecalis	Bifidobacterium_pseudocatenulatum	Klebsiella_oxytoca	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Lactobacillus_rhamnosus	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Bacteroides_dorei	Collinsella_aerofaciens	Enterobacter_cloacae_complex	Bacteroides_caccae
G78675	0.207908692743835	0	0.0205776535388802	0.503080132855574	0.00356879600061242	0	0	0	0	0.00188585072938462	0	0	0	0	0.0173280661249788	0	0.000261007021088867	0	0	0	0	0.000152604105050426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.153057017233764	0	0	0	0	0.0014115379703714	0	0.00558265017328966	0	0
G78677	0.0618003229386457	0	0	0.315147930864245	0	0.00471015536421414	0	0	0.122636670819421	0	0	0.000673022220835304	0	0	0	0	0.351593449370406	0	0	0	0.0023823326316059	0.00194055240431662	0	0	0.00155158176724893	0	0	0	0	0	0	0	0	0	0	0	0	0.00467324866195701	0	0	0.0071271942984846	0	0	0	0.0818183582138516	0	0	0.0168133533049602
G78679	0.0113450594060634	0	0	0.000117655580496226	0	0.00292398128876081	0	0	0	0	0	0	0.0328568215625061	0	0.0712674667512933	0	0	0.00203105947249481	0	0	0.0913450514022825	0	0	0	0	0	0	0.0027348919629633	0	0	0.0003541673086366	0	0	0	0	0	0.00112363080319143	0.0181184591601072	0.000124158652547463	0	0	0	0.0593711469298096	0	0.544742436326921	0.0266809040590775	0	0.117751825962585
G78688	0.00505818316159106	0	0	0.133361750579741	0	0	0.0902704076727766	0	0.000265999031439405	0	0	0	0	0	0.00518052871083904	0.0695944099988426	0	0	0	0	0	0.0444547505036125	0.00781180833624358	0.0132505331735005	0.00356622770657516	0.0425144281215897	0.273018944953206	0	0	0.0030015174649522	0.000335925064901663	0.00335034733431256	0.00361354532292372	0	0	0	0	0	0.00275202457875067	0.00153997333207153	0	0	0.0420487547513939	0	0	0	0	0
G78690	0.0282946940247666	0	0	0.241251853484551	0	0	0.00553710976636076	0.00712930308980884	0	0	0	0	0	0	0	0.00160621969302288	0.370456758706368	0	0.0430133651264377	0.00971466356750691	0	0	0.0113208832605298	0.00283372740752615	0	0	0.0065066324690418	0.0824544142988819	0.00218931591391817	0.00195788081593396	0.00226485793291388	0	0	0.0044288261932433	0	0	0.00350599126357552	0.0125319600849597	0	0.00147417144231155	0	0.000336532681441109	0	0	0	0.0508449885785276	0	0
G78694	0.0783635051371232	0	0.154463712235048	0.000272368241862999	0.0202736230169376	0	0	0	0.0626345893858637	0.00609566529245115	0	0.043562808746963	0	0	0.0187455791442374	0	0.323590181655208	0	0.000403949519618268	0	0	0.000180811687379294	0	0.0839432517466039	0	0.000246252109928303	0	0	0	0	0	0	0	0	0	0	0.0106848000009606	0	0.000161099511168049	0	0	0.00112729633094362	0	0	0	0	0	0
G78696	0	0.399803603843468	0	0.0990793405065873	0	0.00878791785567723	0.00161309697115239	0.00190445060935718	0	0	0	0.000610112321678421	0.00099088242145379	0	0.0210776804009618	0	0.14999611428464	0.00017953305203488	0	0	0	0	0	0.0451812178622084	0	0	0	0	0	0	0.036452510907258	0	0	0	0	0	0	0	0.00743716918284656	0	0.0341220818752732	0	0.000411775807926239	0.000422577796572349	0	0	0.00260337928212584	0.0130492023581541
G78701	0	0	0	0.0361527437312513	0	0.00617454711455981	0.0014580422886466	0	0.00622503556776022	0	0	0	0	0	0.0035998367506555	0.00127275066914766	0.143871213692228	0	0.000148152995872393	0.00170104933675437	0	0.000540617910412405	0	0.00128409300555253	0.000157889337742056	0	0	0	0	0	0.00108615417908887	0	0	0	0.000220322375298037	0.270487822847561	0	0.0152368731527299	0.0024557663936409	0	0.0671073850253456	0	0.000228954595924749	0	0	0.190846051973597	0	0.000776197233794863
G78722	0.00925636317398783	0	0	0.480995380428797	0	0	0.0436534460559435	0	0	0	0.00135193042809628	0	0	0.00468014425397029	0.000780641453593033	0.00113326671966391	0.0777490653728396	0.031122934258716	0.00182179708728727	0.0177420969689445	0	0.00032218855940264	0	0.00105146807049301	0	0	0	0.0311058136112151	0.00109061528203013	0.000197638351852334	0.000580500083100219	0	0	0.00439199674807818	0	0	0.00038095943708112	0	0	0	0	0	0	0	0	0.0371236711474038	0	0
G78748	0.0249973414746068	0	0.00194975201935386	0.449892523546332	0.00441050113028595	0	0.00520550776434471	0	0	0.000460777721967363	0	0	0	0	0.130556255547765	0	0.212022677146575	0	0	0	0	0	0	0.0112573419567927	0	0	0	0	0	0.00630593219804879	0.0762547114422033	0	0	0	0.00940162620722813	0	0.000676660988143127	0	0	0.00081801550858166	0	0	0.000120446456198156	0	0	0.00279447783009907	0	0
