feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G69170	0.00422403864722698	0.0067721700742146	0	0.00398239341844449	0.108460484751336	0.634258489352101	0	0.000294977281346089	0.000373324367945135	0	0.0174157668758924	0	0	0.00225115294291869	0	0.0205096262853975	0.00981820073864393	0	0.00780449049878977	0.00244266804349414	0.0222222555756009	0.000453572597130876	0.0389423043248993	0.00481299260855774	0	0.000717831416681426	0	0	0.00105733545861063	0.00054062491557426	0.000171202892938656	0.00189834090288263	0.00582600142685754	0.000130378357392793	0.000598359614128091	0.000271162968944336	0.000555733996131675	0.00297418748667949	0.000351010957585509	0.00154432814121287	0.00115339318930677	0	0.000135381364199884	0.000493396531315321	0	0	0.0120897659493356	0	0.00349209875134956	0	0.00330158425213553	0	0	0	0.00291885423139307	0	0	0	0.0121925277091532	0	0	0.000264358879686692	0.00172973957348366	0	0.0110919662717293	0	0	0	0	0.00434601195318386	0	0	0.0108503210429468	0	0.0180433440497739	0
G69171	0.000133341025441648	0.00589740566925105	0	0	0.000836566945171154	0.0456522949655987	0	0.00237114255399735	0	0.0404141698668346	0.00283266905289244	0.0134822926830492	0.0133904890425081	0	0.000646638757691063	0.000150598103226421	0.00980663544674009	0.00496361716376917	0.000692691075732987	0.0106262463096692	0.137062534332304	0	0.0200849309089815	0.00864087970963963	0.046128068586851	0	0	0.00217810407924209	0	0	0	0	0	0	0.00572644020096469	0.00141387639618037	0.0355223903059369	0	0	0	0	0	0	0	0	0.0044791146717769	0.0060015501270452	0	0.000850111744595249	0.00363442084695129	0	0	0	0.00659451134627781	0.00531267166152048	0	0	0.00160731619832596	0	0.0567134798345528	0	0.000448784354251687	0	0.0116733094710756	0	0	0.0619730759487003	0.0467707944024862	0.00136411179977776	0.00278581408006983	0.0186568073904439	0	0.00224683139483843	0.153331544082051	0	0.0152238528934451
G69172	0	0.000328491773497368	0	0	0.0127333337202259	0.429384274539476	0	0.0161874502334463	0.00197365221816496	0	0	0	0	0	0.00502583408193704	0	0	0	0.00462670106808355	0.0453293632822842	0.0309242535792396	0.00255579207141129	0.0246861117520408	0.00165736757118806	0	0.00038392413490996	0	0	0	0.00339037930343735	0	0	0	0.000407337803809864	0	0	0.0334071030667704	0.000517201942494028	0.000875911357050246	0.000518102468220947	0.000673193010079284	0.00070601216990479	0	0	0	0	0	0.000380922382486896	0.0004833821985275	0	0	0	0	0.000391228399139418	0.000130476171989207	0	0	0	0.0230882789372436	0	0	0	0.00360560495217108	0	0	0	0	0	0.342466832136601	0.00221089071800117	0	0	0.00891400399553259	0	0	0
G69173	0.00920011234579459	0	0	0	0	0	0	0.0209515104668032	0	0.0291594950200566	0.0160740906112043	0	0	0	0.00617611803670123	0	0.0280838480515126	0	0.00356641884976791	0	0.0439652944316015	0	0	0.0212099698090682	0	0	0	0.00405963209152822	0.0478433848411595	0.000537623438341443	0	0	0	0	0	0	0	0	0	0	0.000614040983809883	0.0029016662225647	0	0	0	0.0769491675288646	0	0.000927312911044376	0	0	0	0	0	0	0.288270186834897	0	0	0	0	0.298434920657783	0	0	0	0	0	0	0	0	0.0837077192923495	0	0	0.000408493790174224	0	0	0	0
G69174	0.000867738792808197	0	0	0	0.00224821412950986	0.000691388648295158	0	0.0521957394525699	0.000111895267630861	0.306903297467464	0	0	0	0	0.0182851679920284	0	0	0	0.00105159532826248	0	0.0509784030123247	0	0	0.275809424143716	0.000209078009016877	0.00107801782437567	0.00152329693501047	0	0.000312766289218641	0.00481069582642662	0	0	0	0.00849193002922688	0	0	0	0	0.000344993727659729	0.00197247936893471	0	0.000643347746271175	0	0	0	0	0	0.00364780574180858	0	0	0	0	0	0	0	0	0	0	0	0.102913320400989	0	0.000589902242769494	0.000254917036364761	0	0	0	0	0	0.105279534996096	0	0	0.0038741984925966	0	0	0.0177939497688332	0
G69175	0.000657876047630346	0.01883584047091	0	0	0.00636990458646734	0.140000764204501	0.0139260266047194	0.00255888475756112	0	0.130659464472693	0.00866491873225275	0	0	0	0.00497073016739279	0.14379547967036	0.0211976724971602	0.000123232977144684	0.00271222579162184	0.000981162559100815	0.0123391019436801	0.000329988304870383	0	0.00422162970810989	0	0.000102027302506151	0.000519038894808251	0	0	0	0.00298519883920937	0	0.00997116828463297	0.000749900673420207	0	0	0.000612663948872718	0.000781209051542193	0.000315184343330275	0	0	0	0	0.00367638380030496	0	0	0	0	0	0	0	0	0.000236563304340241	0	0	0	0	0	0	0	0.00131265126547864	0	0.0016160324502837	0	0	0	0	0	0	0	0	0	0.00394155476005379	0	0.000193051660624383	0
G69176	0.000377235611041682	0	0	0	0.000854980710179041	0.00260824621844302	0	0.000218720647229098	0	0.00669723221872145	0.000442241747620975	0.00208309664432322	0.00108320225429281	0.000936288385623603	0	0.0176594670536899	0.0285003904368572	0	0	0.00838429147711544	0.0183867357078508	0	0	0.00316749901190672	0.0030777905434273	0	0.000477445070814685	0	0	0	0	0	0.00461723586706585	0.000279026340086504	0.000475844919760425	0	0.00525019561846638	0	0	0	0	0	0	0.00019181810762936	0	0	0.00277766221131275	0	0	0	0	0	0	0	0.000762371967913771	0	0	0	0	0.012109043093668	0	0.000283326746044827	0	0.000831378482128713	0.00451312603909809	0	0.00242602901713922	0.000516848790525826	0	0	0.0021335014025324	0	0.00118321169518403	0.84722647817954	0	0.00147353910209124
G69177	0	0.000530814965756474	0	0	0.00221581940791342	0	0	0.00598311309203674	0	0.000562569701394293	0.00414684792176274	0	0	0.00542645357803245	0.00206666230581654	0.0254845276803626	0.0183394116438505	0	0.00229395408866263	0.0628401175105529	0.0565357506734358	0.000159875577532994	0	0.0130743362333655	0	0.000405498958554861	0.00230387118275772	0	0.0242228529315982	0.000150559519443665	0.000261651007842218	0	0.00194966063002798	0.00308772230694047	0	0	0	0.0012939303477404	0.000173098369659783	0.000199243435910479	0	0.000922890786849292	0	0.00846679421318527	0.00336459956026202	0	0	0	0	0.0268228345198619	0	0	0.00105231387342362	0	0	0	0	0	0	0.484081010437691	0	0	0.000352006754041942	0.0971801093544943	0.00493570767932686	0	0.1277723411845	0	0	0	0	0	0.00195446891807408	0	0.000116300467115166	0
G69178	0	0.000763465505340358	0	0	0	0.103348067264171	0	0.051858549463544	0.000909978076118931	0	0	0.450290234902155	0	0	0.0176898177863661	0	0	0	0.00225719366721665	0	0	0.000818870259068228	0.0220131887315932	0.0183462741103187	0	0.00286184554634788	0	0.000376432297891159	0	0	0	0	0	0	0	0	0	0	0.00064915569755885	0	0.000448838510344188	0.000569048824389133	0	0	0	0	0	0.000552847434309864	0	0.000327728119072616	0	0	0.00589240556839777	0	0	0	0	0	0	0.236631002940052	0.00426316577962389	0	0	0	0	0	0	0	0	0	0	0	0	0.00307556388338119	0	0
G69179	0.00343774411818623	0	0	0.000991799279107839	0.00264876514139065	0	0	0.00836423726014974	0.000666666733340007	0.000530053058311137	0	0	0	0	0.0155462561802436	0.10981329231056	0	0.00916721763848561	0.0252978323130145	0.000511851236308754	0.125519764528429	0	0.0317996831482831	0.0127990811880269	0.0683623430705414	0	0	0.000592959355231459	0	0	0	0	0.0188773896267016	0.00177127730485822	0	0	0.00179047922697062	0.00213251346459781	0	0	0.000890989188017721	0	0	0.000506750725747647	0.0330867119798692	0	0	0	0	0.00431303173447662	0	0	0.00108170827899873	0.00782498328082641	0.00380128050817887	0.000601260186144633	0	0.000790179096927602	0.0204464466893136	0.360000536053659	0	0.00117321743906565	0.00320672099277138	0	0	0	0	0	0.00081338141948009	0.000434143457760122	0	0	0	0	0	0
