feature	Escherichia_coli	Akkermansia_muciniphila	Klebsiella_pneumoniae	Dialister_invisus	Bifidobacterium_longum	Bacteroides_uniformis	Eubacterium_sp_CAG_180	Blautia_wexlerae	Ruthenibacterium_lactatiformans	Bacteroides_fragilis	Fusicatenibacter_saccharivorans	Bacteroides_ovatus	Bacteroides_thetaiotaomicron	Ruminococcus_torques	Ruminococcus_gnavus	Roseburia_faecis	Eubacterium_rectale	Bifidobacterium_bifidum	Flavonifractor_plautii	Roseburia_inulinivorans	Faecalibacterium_prausnitzii	Sellimonas_intestinalis	Ruminococcus_bromii	Anaerostipes_hadrus	Parabacteroides_distasonis	Hungatella_hathewayi	Streptococcus_salivarius	Streptococcus_thermophilus	Veillonella_atypica	Erysipelatoclostridium_ramosum	Agathobaculum_butyriciproducens	Gemmiger_formicilis	Lachnospira_pectinoschiza	Haemophilus_parainfluenzae	Dorea_longicatena	Blautia_obeum	Roseburia_intestinalis	Veillonella_parvula	Clostridium_innocuum	Intestinibacter_bartlettii	Eggerthella_lenta	Clostridium_symbiosum	Gordonibacter_pamelaeae	Veillonella_dispar	Eubacterium_sp_CAG_38	Bacteroides_xylanisolvens	Eubacterium_eligens	Clostridium_clostridioforme	Roseburia_hominis	Ruminococcus_bicirculans	Coprococcus_comes	Enterococcus_faecalis	Clostridium_bolteae	Lactococcus_lactis	Bifidobacterium_pseudocatenulatum	Eubacterium_siraeum	Intestinimonas_butyriciproducens	Dorea_formicigenerans	Bifidobacterium_adolescentis	Bacteroides_vulgatus	Bifidobacterium_dentium	Haemophilus_sp_HMSC71H05	Bifidobacterium_breve	Parabacteroides_merdae	Ruminococcus_lactaris	Bacteroides_stercoris	Alistipes_putredinis	Barnesiella_intestinihominis	Bacteroides_dorei	Eubacterium_hallii	Odoribacter_splanchnicus	Alistipes_finegoldii	Collinsella_aerofaciens	Prevotella_copri	Parasutterella_excrementihominis	Bacteroides_caccae
G78857	0	0	0	0.000950640929025428	0.0381207257612909	0.064085917941969	0	0.0340419639717136	0.000154028828020748	0.0547352529957198	0.0299993505546631	0.0723859518846781	0	0	0.00630403109495259	0	0.0227471292678055	0.0163172528217175	0.00105197890895634	0.0275571910141273	0.0881554649599733	0.000419198584454239	0	0.0814762260118787	0.0319672924623904	0	0.00362941913854139	0	0.000245073712045741	0	0.000890230259006153	0.00363015435967753	0	0.00685397650478323	0.00326058320191256	0	0.00202651452490623	0.000306587213769221	0.000622364691740158	0	0	0	0	0.000212111297775588	0.00703851700995367	0	0.0778404349568241	0.000690985331112966	0.00188045059252697	0.0201307223180052	0	0	0.000205494307550353	0	0	0	0	0	0.0359752279491864	0.13452426903702	0	0.00333349263124616	0.000218360677432755	0.0479829820814355	0	0	0.0199754681214242	0.0150330665705978	0.00039616165552194	0.0167452740598053	0	0.00237390651173107	0.0235085732911316	0	0	0
G78858	0.000172931014436629	0	0	0.000679396078300087	0.0143911629424105	0.0319432650551773	0	0.0198095926609389	0.000135607773910738	0.000237285329161575	0	0.0603183152153506	0.003087649898051	0.00098499424769693	0.00078243084229732	0.000579075731795646	0.00218714189481723	0.0186204515976383	0.0019103844112813	0	0.0124583845868136	0.00042887796386115	0.0885093504896583	0.00688670338067127	0.0220833697140678	0	0	0	0	0	0.000122035686446778	0.0041291945101811	0	0	0.011639874612008	0	0.0185403762816009	0	0	0.000568104961095611	0	0	0	0	0	0.00279109978696347	0	0	0	0	0.00697684466157774	0	0	0.00249579378389346	0.000563128529025493	0.00785620282851351	0	0.0010308000428878	0.00795516596627155	0.0307389684942086	0	0	0	0.0174371917722387	0	0.146728742378707	0.142877097057164	0.0663227198101355	0.175545450885104	0.00550438627246689	0.0105496966864653	0.0350822626841336	0.0178336098269152	0	0.000504881653659329	0
G78859	0.00170062078867927	0	0	0	0.0239775340782099	0.354274389074739	0	0.0365900633480389	0.000214528635699274	0.0986227899591484	0	0	0.112308645982521	0	0.0172675614132367	0	0	0	0.00201403994789791	0	0.0377596602540871	0.00139893633444046	0	0	0	0.000506984826798603	0	0.00230478720137882	0	0.00417664353942399	0	0	0	0.000429171200573109	0	0	0	0	0.00181227137974952	0	0.00025337848422474	0.00114362105424817	0	0.000299405870747579	0	0	0	0.00168261997909855	0	0	0	0	0.000923168101471703	0.00419669507414682	0	0.00386903476810799	0.00189817397736888	0	0	0.0002410741333721	0.000126917100461493	0	0.00114852000875432	0	0	0.000115068466307099	0	0	0.277636056214022	0	0	0.000276961823358967	0.0108306769796875	0	0	0
G78860	0.00777034852924703	0.000114961580630494	0	0	0.258807714591149	0	0	0	0	0	0.0040853939487022	0	0	0.0213101666486722	0.00172330856184989	0.000223130898560598	0.0014224214619281	0.409336826786657	0	0.000172138239780052	0.000889786413751189	0	0	0	0	0	0.000138278303333328	0	0	0.00128992165074287	0	0	0	0	0.000987615272047862	0.000197482503587481	0.000118104269342615	0	0	0	0.00654885639078422	0	0.00092476149780544	0	0	0	0	0	0	0	0	0	0	0	0.245981590940541	0	0	0.00111666826335529	0	0.000104114235720915	0.00271102521095298	0	0	0	0	0	0	0	0	0.034025383800859	0	0	0	0	0	0
G78861	0.000613466712346433	0	0	0.00234405830036955	0.454516623763478	0.00167325204327475	0	0.000555684391190742	0	0	0.00415158228916509	0	0	0.00803949122776917	0.0066021283154959	0.0113835600440784	0.00135356747718733	0.269866021393849	0.000518159090670092	0	0.00236331907408812	0	0	0.0285673803299902	0	0	0.000283266206585081	0	0.000475541861465225	0.000643575508044417	0.00521789857210143	0	0	0	0.00472054997257554	0.000377688275446775	0.000124088088152355	0.000452960264691736	0.000188179973112403	0	0.00305460374002162	0	0.00034215546875908	0	0	0	0	0	0	0	0	0	0	0.000334849658038246	0	0	0	0.0058077874407579	0.0504622308957201	0.00936549587360062	0.000117557136144336	0	0	0	0	0.000195375089731406	0	0	0	0.00134271945520791	0	0	0.0959588350774112	0.0279863469894802	0	0
G78862	0.00668393576041214	0	0.000531320811505987	0	0.219888468657375	0	0	0	0	0	0	0	0	0	0.000130879024755147	0	0	0.615223672053186	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000327998045219704	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00271493928033747	0	0	0	0	0	0	0.142114008438295	0	0.00758257836081426	0	0	0.00480219956809922	0	0	0	0	0	0	0	0	0	0	0	0
G78863	0.0054179736164326	0	0	0	0.111509059089221	0.001437715616069	0	0	0	0	0	0	0	0	0	0	0	0.315121868636077	0	0	0.000167695133449206	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.404677773701021	0	0	0	0	0	0	0.143231355147775	0.000243037875386707	0.0173412376841382	0	0	0	0	0.000241937251002494	0	0	0	0	0	0	0	0.0006103462494273	0	0
G78864	0.0191078137896679	0.00661206048062309	0	0	0.182998279419487	0.190443471247123	0.00877238300677557	0.00260316209355254	0	0.0202443947827901	0.00463438300212924	0.0353235079664106	0	0.000799611389749597	0.000539306243086509	0.0079579476095237	0.0215417166930825	0.323046652147252	0.00308084914127511	0.00173319198162797	0.0230110634665543	0	0	0.00800418966277706	0.0108735201298406	0	0.000132641679068866	0	0	0.000379782222054561	0.000643738057132389	0	0.023483219168194	0.000265062104294415	0	0	0.00488185542587991	0.00131480096391449	0	0	0	0	0	0	0	0	0.00338286063740356	0	0	0	0	0.00085249105830249	0	0	0.00248711445273249	0.00127973222974866	0	0.000326570672736692	0.00526163764793447	0.00120284651919582	0.000128769736810809	0.000145031894294649	0.00252295757534993	0.0137938496077888	0.00228378217072367	0.0434866685156113	0	0	0	0.000693852052643812	0.00763126630986534	0.000253003769833609	0.00134124079819094	0.0102690546298971	0	0.00022866584706868
G78865	0.0600341748026226	0.000111517073364197	0.00992513093508124	0	0.33894561665488	0.0185334468779898	0.000345580381194545	0	0	0.00122223158029831	0	0.0038297926384026	0	0	0.000794656627679139	0.000463447577617443	0.0013594833629004	0.0570077284339795	0.00185869215984842	0	0.00380606323118325	0	0	0.00046545287963598	0.000530848006573826	0	0	0	0	0	0	0	0.00100710723597637	0	0	0	0.000442169095087411	0.000169113803563288	0.0128906384034944	0	0.103589780267917	0	0.0131810729791792	0	0.0136392844904149	0	0	0	0	0	0	0.266150591051629	0	0	0	0	0	0	0	0.000986162970449424	0.00023462033616883	0	0.0799667654612128	0.000556694121479414	0	0.00304828187951165	0	0	0	0	0.000280965093930575	0	0	0.00462288958673399	0	0
G78866	0.129577528663619	0	0.00298155943074764	0	0.208838774913749	0.00251167092743701	0.000531196565404784	0	0	0.000241313011530395	0	0.014534349871393	0	0	0	0.0033505275852686	0.0016276030731296	0.0686515921619742	0	0	0.0170805940667233	0	0	0.00107681032349381	0	0	0	0	0.000523498064456889	0	0	0	0.00181978565133797	0.000174126094166944	0	0	0.00174168085990296	0.000214018326351493	0.0123479756021907	0	0.0613240189870228	0	0.00794835229684076	0	0	0	0.000981908802717935	0	0.000659551572117877	0	0	0.0751155335033162	0	0	0	0	0	0	0.000269587505920847	0.00938419270999551	0	0	0.311683888913151	0	0.000938377279176199	0.000230535110203341	0	0	0	0	0	0	0.000584946099295545	0.0597221708988826	0	0.00333233112848266
